Step,MSE,RMSE,MAE,R²,Mean Error,Std Error
1,0.040620927,0.20154634,0.194886,0.9817233681678772,0.194886,0.051384557
2,0.024741797,0.15729526,0.14853314,0.9887270331382751,0.14853314,0.05176588
3,0.02665264,0.16325636,0.1544166,0.9877108335494995,0.1544166,0.05299197
4,0.032856654,0.18126404,0.17370285,0.9846789836883545,0.17370285,0.051807083
5,0.038188223,0.19541807,0.18849991,0.9819785356521606,0.18849991,0.051536467
6,0.04577311,0.21394652,0.2078218,0.9781230092048645,0.2078218,0.05082526
7,0.0536858,0.23170196,0.22514382,0.9740311503410339,0.22514382,0.054736283
8,0.05506999,0.23466995,0.22713165,0.9730457663536072,0.22713165,0.059001666
9,0.055086564,0.23470527,0.22593242,0.9726971983909607,0.22593242,0.06356967
10,0.061141185,0.24726744,0.23932551,0.9692895412445068,0.23932551,0.062165026
11,0.06973622,0.26407617,0.2574943,0.9645277857780457,0.2574943,0.05859102
12,0.07766617,0.27868652,0.27083406,0.9599614143371582,0.27083406,0.06568933
