fan_speed,pump_speed,duration
30,40,50
30,45,20
30,50,20
30,55,20
30,60,20
30,65,20
30,70,20
30,75,20
30,80,20
30,85,20
30,90,20
30,95,20
30,100,20
30,95,20
30,90,20
30,85,20
30,80,20
30,75,20
30,70,20
30,65,20
30,60,20
30,55,20
30,50,20
30,45,20
30,40,20
40,40,50
40,45,20
40,50,20
40,55,20
40,60,20
40,65,20
40,70,20
40,75,20
40,80,20
40,85,20
40,90,20
40,95,20
40,100,20
40,95,20
40,90,20
40,85,20
40,80,20
40,75,20
40,70,20
40,65,20
40,60,20
40,55,20
40,50,20
40,45,20
40,40,20
50,40,50
50,45,20
50,50,20
50,55,20
50,60,20
50,65,20
50,70,20
50,75,20
50,80,20
50,85,20
50,90,20
50,95,20
50,100,20
50,95,20
50,90,20
50,85,20
50,80,20
50,75,20
50,70,20
50,65,20
50,60,20
50,55,20
50,50,20
50,45,20
50,40,20
50,45,20
50,50,20
50,55,20
50,60,20
50,65,20
50,70,20
50,75,20
50,80,20
50,85,20
50,90,20
50,95,20
50,100,20
50,95,20
50,90,20
50,85,20
50,80,20
50,75,20
50,70,20
50,65,20
50,60,20
50,55,20
50,50,20
50,45,20
50,40,20
60,40,50
60,45,20
60,50,20
60,55,20
60,60,20
60,65,20
60,70,20
60,75,20
60,80,20
60,85,20
60,90,20
60,95,20
60,100,20
60,95,20
60,90,20
60,85,20
60,80,20
60,75,20
60,70,20
60,65,20
60,60,20
60,55,20
60,50,20
60,45,20
60,40,20
60,45,20
60,50,20
60,55,20
60,60,20
60,65,20
60,70,20
60,75,20
60,80,20
60,85,20
60,90,20
60,95,20
60,100,20
60,95,20
60,90,20
60,85,20
60,80,20
60,75,20
60,70,20
60,65,20
60,60,20
60,55,20
60,50,20
60,45,20
60,40,20
70,40,50
70,45,20
70,50,20
70,55,20
70,60,20
70,65,20
70,70,20
70,75,20
70,80,20
70,85,20
70,90,20
70,95,20
70,100,20
70,95,20
70,90,20
70,85,20
70,80,20
70,75,20
70,70,20
70,65,20
70,60,20
70,55,20
70,50,20
70,45,20
70,40,20
70,45,20
70,50,20
70,55,20
70,60,20
70,65,20
70,70,20
70,75,20
70,80,20
70,85,20
70,90,20
70,95,20
70,100,20
70,95,20
70,90,20
70,85,20
70,80,20
70,75,20
70,70,20
70,65,20
70,60,20
70,55,20
70,50,20
70,45,20
70,40,20
80,40,50
80,45,20
80,50,20
80,55,20
80,60,20
80,65,20
80,70,20
80,75,20
80,80,20
80,85,20
80,90,20
80,95,20
80,100,20
80,95,20
80,90,20
80,85,20
80,80,20
80,75,20
80,70,20
80,65,20
80,60,20
80,55,20
80,50,20
80,45,20
80,40,20
80,45,20
80,50,20
80,55,20
80,60,20
80,65,20
80,70,20
80,75,20
80,80,20
80,85,20
80,90,20
80,95,20
80,100,20
80,95,20
80,90,20
80,85,20
80,80,20
80,75,20
80,70,20
80,65,20
80,60,20
80,55,20
80,50,20
80,45,20
80,40,20
90,40,50
90,45,20
90,50,20
90,55,20
90,60,20
90,65,20
90,70,20
90,75,20
90,80,20
90,85,20
90,90,20
90,95,20
90,100,20
90,95,20
90,90,20
90,85,20
90,80,20
90,75,20
90,70,20
90,65,20
90,60,20
90,55,20
90,50,20
90,45,20
90,40,20
90,45,20
90,50,20
90,55,20
90,60,20
90,65,20
90,70,20
90,75,20
90,80,20
90,85,20
90,90,20
90,95,20
90,100,20
90,95,20
90,90,20
90,85,20
90,80,20
90,75,20
90,70,20
90,65,20
90,60,20
90,55,20
90,50,20
90,45,20
90,40,20
100,40,50
100,45,20
100,50,20
100,55,20
100,60,20
100,65,20
100,70,20
100,75,20
100,80,20
100,85,20
100,90,20
100,95,20
100,100,20
100,95,20
100,90,20
100,85,20
100,80,20
100,75,20
100,70,20
100,65,20
100,60,20
100,55,20
100,50,20
100,45,20
100,40,20
100,45,20
100,50,20
100,55,20
100,60,20
100,65,20
100,70,20
100,75,20
100,80,20
100,85,20
100,90,20
100,95,20
100,100,20
100,95,20
100,90,20
100,85,20
100,80,20
100,75,20
100,70,20
100,65,20
100,60,20
100,55,20
100,50,20
100,45,20
100,40,20
90,40,50
90,45,20
90,50,20
90,55,20
90,60,20
90,65,20
90,70,20
90,75,20
90,80,20
90,85,20
90,90,20
90,95,20
90,100,20
90,95,20
90,90,20
90,85,20
90,80,20
90,75,20
90,70,20
90,65,20
90,60,20
90,55,20
90,50,20
90,45,20
90,40,20
90,45,20
90,50,20
90,55,20
90,60,20
90,65,20
90,70,20
90,75,20
90,80,20
90,85,20
90,90,20
90,95,20
90,100,20
90,95,20
90,90,20
90,85,20
90,80,20
90,75,20
90,70,20
90,65,20
90,60,20
90,55,20
90,50,20
90,45,20
90,40,20
80,40,50
80,45,20
80,50,20
80,55,20
80,60,20
80,65,20
80,70,20
80,75,20
80,80,20
80,85,20
80,90,20
80,95,20
80,100,20
80,95,20
80,90,20
80,85,20
80,80,20
80,75,20
80,70,20
80,65,20
80,60,20
80,55,20
80,50,20
80,45,20
80,40,20
80,45,20
80,50,20
80,55,20
80,60,20
80,65,20
80,70,20
80,75,20
80,80,20
80,85,20
80,90,20
80,95,20
80,100,20
80,95,20
80,90,20
80,85,20
80,80,20
80,75,20
80,70,20
80,65,20
80,60,20
80,55,20
80,50,20
80,45,20
80,40,20
70,40,50
70,45,20
70,50,20
70,55,20
70,60,20
70,65,20
70,70,20
70,75,20
70,80,20
70,85,20
70,90,20
70,95,20
70,100,20
70,95,20
70,90,20
70,85,20
70,80,20
70,75,20
70,70,20
70,65,20
70,60,20
70,55,20
70,50,20
70,45,20
70,40,20
70,45,20
70,50,20
70,55,20
70,60,20
70,65,20
70,70,20
70,75,20
70,80,20
70,85,20
70,90,20
70,95,20
70,100,20
70,95,20
70,90,20
70,85,20
70,80,20
70,75,20
70,70,20
70,65,20
70,60,20
70,55,20
70,50,20
70,45,20
70,40,20
60,40,50
60,45,20
60,50,20
60,55,20
60,60,20
60,65,20
60,70,20
60,75,20
60,80,20
60,85,20
60,90,20
60,95,20
60,100,20
60,95,20
60,90,20
60,85,20
60,80,20
60,75,20
60,70,20
60,65,20
60,60,20
60,55,20
60,50,20
60,45,20
60,40,20
60,45,20
60,50,20
60,55,20
60,60,20
60,65,20
60,70,20
60,75,20
60,80,20
60,85,20
60,90,20
60,95,20
60,100,20
60,95,20
60,90,20
60,85,20
60,80,20
60,75,20
60,70,20
60,65,20
60,60,20
60,55,20
60,50,20
60,45,20
60,40,20
50,40,50
50,45,20
50,50,20
50,55,20
50,60,20
50,65,20
50,70,20
50,75,20
50,80,20
50,85,20
50,90,20
50,95,20
50,100,20
50,95,20
50,90,20
50,85,20
50,80,20
50,75,20
50,70,20
50,65,20
50,60,20
50,55,20
50,50,20
50,45,20
50,40,20
50,45,20
50,50,20
50,55,20
50,60,20
50,65,20
50,70,20
50,75,20
50,80,20
50,85,20
50,90,20
50,95,20
