fan_speed,duration,pump_speed
30,240,40
20,30,40
40,240,40
20,20,40
50,240,40
20,30,40
60,240,40
20,30,40
70,240,40
20,20,40
80,240,40
20,30,40
90,240,40
20,30,40
100,240,40
20,20,40
90,240,40
20,30,40
80,240,40
20,30,40
70,240,40
20,20,40
60,240,40
20,30,40
50,240,40
20,30,40
40,240,40
20,20,40
30,240,40
20,30,40
30,240,50
20,30,50
40,240,50
20,20,50
50,240,50
20,30,50
60,240,50
20,30,50
70,240,50
20,20,50
80,240,50
20,30,50
90,240,50
20,30,50
100,240,50
20,20,50
90,240,50
20,30,50
80,240,50
20,30,50
70,240,50
20,20,50
60,240,50
20,30,50
50,240,50
20,30,50
40,240,50
20,20,50
30,240,50
20,30,50
30,240,60
20,30,60
40,240,60
20,20,60
50,240,60
20,30,60
60,240,60
20,30,60
70,240,60
20,20,60
80,240,60
20,30,60
90,240,60
20,30,60
100,240,60
20,20,60
90,240,60
20,30,60
80,240,60
20,30,60
70,240,60
20,20,60
60,240,60
20,30,60
50,240,60
20,30,60
40,240,60
20,20,60
30,240,60
20,30,60
30,240,70
20,30,70
40,240,70
20,20,70
50,240,70
20,30,70
60,240,70
20,30,70
70,240,70
20,20,70
80,240,70
20,30,70
90,240,70
20,30,70
100,240,70
20,20,70
90,240,70
20,30,70
80,240,70
20,30,70
70,240,70
20,20,70
60,240,70
20,30,70
50,240,70
20,30,70
40,240,70
20,20,70
30,240,70
20,30,70
30,240,80
20,30,80
40,240,80
20,20,80
50,240,80
20,30,80
60,240,80
20,30,80
70,240,80
20,20,80
80,240,80
20,30,80
90,240,80
20,30,80
100,240,80
20,20,80
90,240,80
20,30,80
80,240,80
20,30,80
70,240,80
20,20,80
60,240,80
20,30,80
50,240,80
20,30,80
40,240,80
20,20,80
30,240,80
20,30,80
30,240,90
20,30,90
40,240,90
20,20,90
50,240,90
20,30,90
60,240,90
20,30,90
70,240,90
20,20,90
80,240,90
20,30,90
90,240,90
20,30,90
100,240,90
20,20,90
90,240,90
20,30,90
80,240,90
20,30,90
70,240,90
20,20,90
60,240,90
20,30,90
50,240,90
20,30,90
40,240,90
20,20,90
30,240,90
20,30,90
30,240,100
20,30,100
40,240,100
20,20,100
50,240,100
20,30,100
60,240,100
20,30,100
70,240,100
20,20,100
80,240,100
20,30,100
90,240,100
20,30,100
100,240,100
20,20,100
90,240,100
20,30,100
80,240,100
20,30,100
70,240,100
20,20,100
60,240,100
20,30,100
50,240,100
20,30,100
40,240,100
20,20,100
30,240,100
20,30,100
